Mass,Altitude,Pressure,Density,Temperature,Cas,Tas,Vy,VS,Drag,Thrust,T-D,Pitch,FPA,AOA,Q,AccelerationX,AccelerationY,DistanceX,Dx,Dy,Phase,Cd,Cd0,Gear,Flaps,Cl,Lift,Weight,L-W
75500,306.66358730840807,97696.97032930946,1.1893589283385568,286.15824629096693,85.19479958174716,86.43720528561475,14.393683090054447,2833.4021830815836,50971.08014075666,208112.14430874342,-33974.72039925854,15.0,9.455553021898984,5.544446978101016,8887.845411353008,-0.4903612670574492,-0.32433620754803894,1868.847895442979,1.440688193825115,0.2399397648630669,T/O C,0.08007244649724393,7559.117044,False,2,1.0456435501824834,697006.1119934155,738414.6884999999,-16247.706139931921
75500,306.90343697746806,97694.17127838214,1.18933133485392,286.1566866824953,85.18577116873824,86.42903321265571,14.388277197146015,2832.3380309342547,50969.4063607969,208113.9688341611,-33971.22209388111,15.0,9.45294418174578,5.54705581825422,8885.95878613739,-0.49032437754234787,-0.32435357450586055,1870.2884474304647,1.4405519874855872,0.23984966906000385,T/O C,0.0800863591974803,7559.117044,False,2,1.0458613226714348,697003.817165684,738414.6884999999,-16250.00096766348
75500,307.14319654592344,97691.3733433825,1.1893037522199723,286.15512765964644,85.17674390894614,86.42086175443718,14.382871017499223,2831.2738223423667,50967.73677314359,208115.7934536181,-33967.727886770765,15.0,9.45033455678242,5.549665443217579,8884.072605220843,-0.4902874931112986,-0.32437077880757054,1871.7288632218572,1.4404157913924407,0.239759568455377,T/O C,0.08010028153675999,7559.117044,False,2,1.0460791608242275,697001.5361498266,738414.6884999999,-16252.281983520836
75500,307.3828660090177,97688.57652429218,1.1892761804367067,286.1535692224515,85.167717802179,86.41269091087065,14.377464553807327,2830.2095578360877,50966.071373106744,208117.6181671971,-33964.23777315492,15.0,9.447724148581765,5.552275851418235,8882.186868484212,-0.490250613991827,-0.3243878215138212,1873.1691428274014,1.440279605544232,0.23966946309422124,T/O C,0.08011421351155318,7559.117044,False,2,1.0462970645086678,696999.2688616605,738414.6884999999,-16254.549271686934
75500,307.62244536203895,97685.78082109244,1.1892486195041136,286.15201137094135,85.15869284823958,86.40452068186381,14.372057808746007,2829.145237942127,50964.41015601886,208119.44297498182,-33960.75174828232,15.0,9.445112958706442,5.554887041293558,8880.301575807573,-0.49021374041007815,-0.32440470367916724,1874.609286257341,1.4401434299394538,0.23957935302127778,T/O C,0.08012815511837325,7559.117044,False,2,1.0465150335934226,696997.015217485,738414.6884999999,-16256.802915862412
75500,307.86193460031996,97682.98623376407,1.1892210694221779,286.1504541051467,85.14966904692979,86.39635106732064,14.366650784973471,2828.080863183754,50962.75311723464,208121.2678770574,-33957.26980742253,15.0,9.442500988708895,5.557499011291105,8878.416727070215,-0.4901768725908288,-0.32442142635213306,1876.0492935219174,1.440007264576537,0.23948923828099564,T/O C,0.08014210635377664,7559.117044,False,2,1.0467330679480122,696994.7751340765,738414.6884999999,-16259.042999270954
75500,308.1013337192375,97680.19276228733,1.1891935301908796,286.1488974250979,85.14064639804532,86.38818206714134,14.36124348513055,2827.016434080817,50961.10025213097,208123.09287350962,-33953.79194586663,15.0,9.43988824013144,5.56011175986856,8876.532322150651,-0.49014001075750413,-0.3244379905752473,1877.4891646313713,1.4398711094538499,0.2393991189175335,T/O C,0.08015606721436264,7559.117044,False,2,1.0469511674428071,696992.5485286856,738414.6884999999,-16261.269604661851
75500,308.34064271421227,97677.40040664186,1.1891660018101924,286.14734133082493,85.13162490137947,86.38001368122248,14.3558359118408,2825.9519511497633,50959.45155610665,208124.9179644255,-33950.31815892644,15.0,9.437274714506334,5.562725285493666,8874.648360926612,-0.49010315513217456,-0.32445439738506143,1878.928899595941,1.4397349645696986,0.23930899497476124,T/O C,0.08017003769677317,7559.117044,False,2,1.047169331949025,696990.3353190358,738414.6884999999,-16263.482814311632
75500,308.57986158070855,97674.60916680703,1.1891384842800872,286.1457858223576,85.12260455672012,86.37184590945688,14.350428067710595,2824.88741490366,50957.80702458253,208126.74314989307,-33946.84844193474,15.0,9.434660413355815,5.5653395866441855,8872.764843275087,-0.4900663059355695,-0.324470647812195,1880.3684984258632,1.439598829922328,0.23921886649626162,T/O C,0.08018401779769255,7559.117044,False,2,1.0473875613387211,696988.1354233199,738414.6884999999,-16265.682710027555
75500,308.8189903142339,97671.81904276152,1.1891109776005282,286.14423089972536,85.11358536385276,86.36367875173376,14.345019955329239,2823.822825852212,50956.1666530011,208128.5684300014,-33943.38279024497,15.0,9.43204533819216,5.567954661807841,8870.881769072279,-0.4900294633870852,-0.3244867428813749,1881.807961131373,1.4394627055099218,0.23912873352533195,T/O C,0.08019800751384731,7559.117044,False,2,1.0476058554847896,696985.9487601967,738414.6884999999,-16267.869373150752
