AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd
2.074769,64072.62109,9.793585,1.974213,149.110672,267.366333,1.055113,622837.75,36694.65625,62255.70703,0.004724,0.345546,0.020358
2.07319,64072.58203,9.793585,1.972619,149.139938,267.420227,1.055113,622869.9375,36701.375,62254.71875,0,0.345429,0.020354
2.071553,64072.54297,9.793585,1.970964,149.170334,267.476257,1.055113,622862.125,36707.9375,62253.80859,47.25,0.345283,0.020349
2.069905,64072.50391,9.793585,1.969306,149.200714,267.532288,1.055114,622918.1875,36716.02734,62252.73438,0,0.345174,0.020345
2.068303,64072.45703,9.793585,1.967691,149.230316,267.586853,1.055114,622895.25,36722.42188,62252.09766,0,0.345024,0.020341
2.066599,64072.42188,9.793585,1.965966,149.261993,267.645264,1.055114,622858.3125,36728.03906,62250.84766,0,0.344857,0.020335
2.064953,64072.375,9.793585,1.964315,149.292236,267.700928,1.055114,622962.1875,36738.14063,62250.24609,0,0.344775,0.020333
2.063306,64072.33203,9.793585,1.962646,149.322845,267.757294,1.055115,622849,36742.19141,62249.26953,0.004724,0.344571,0.020326
2.061718,64070.37891,9.793585,1.961048,149.352188,267.811401,1.055115,622926.125,36750.76172,62248.51953,4,0.344478,0.020323
2.059895,64072.25391,9.793585,1.959213,149.385834,267.873505,1.055115,622928.9375,36757.61328,62247.21875,0,0.344324,0.020318
2.058211,64072.20703,9.793585,1.957521,149.416733,267.93045,1.055115,622956.5625,36766.15234,62246.44531,0,0.344197,0.020314
2.056592,64072.16016,9.793585,1.955882,149.446777,267.985748,1.055116,622866.8125,36771.22266,62245.71094,-7.50966E+36,0.344009,0.020309
2.055044,64072.11719,9.793585,1.954329,149.475113,268.037872,1.055116,622996.125,36781.60938,62244.96875,0,0.34395,0.020307
2.05344,64072.08203,9.793585,1.952706,149.504791,268.092529,1.055116,622878.125,36784.79688,62243.90625,0,0.343748,0.0203
2.051617,64072.04297,9.793585,1.950872,149.53833,268.15448,1.055116,622953,36792.66406,62242.78125,0,0.343635,0.020296
2.050076,64071.98828,9.793585,1.949322,149.566635,268.206512,1.055117,622958.8125,36801.72266,62242.24219,0,0.343508,0.020293
2.048407,64071.95703,9.793585,1.947635,149.597458,268.263336,1.055117,622910.1875,36806.26953,62241.17188,1.08465E+21,0.34334,0.020287
2.046813,64071.91016,9.793585,1.946026,149.626953,268.317657,1.055117,622924.125,36813.87891,62240.36328,0,0.343212,0.020283
2.04521,64071.87109,9.793585,1.944413,149.656479,268.37204,1.055117,622962.75,36821.87891,62239.50781,124,0.343098,0.02028
2.043532,64071.83203,9.793585,1.942718,149.687546,268.429352,1.055118,622926.125,36827.14453,62238.53125,0,0.342935,0.020274
2.041975,64071.78516,9.793585,1.94114,149.716675,268.482971,1.055118,622893.875,36833.71094,62237.78906,0,0.342784,0.02027
2.040332,64071.74609,9.793585,1.939485,149.747238,268.539276,1.055118,622966.375,36842.35938,62236.76563,0,0.342684,0.020266
2.038798,64071.70313,9.793585,1.937941,149.775757,268.591736,1.055118,622970.75,36849.6875,62236.09375,0,0.342556,0.020263
2.037207,64071.66406,9.793585,1.93633,149.805634,268.64682,1.055119,622909.25,36854.41797,62235.17578,1.08465E+21,0.342385,0.020257
2.035717,64071.62109,9.793585,1.934831,149.83345,268.697968,1.055119,622996.5625,36864.16016,62234.45313,1.08465E+21,0.342306,0.020255
2.03414,64071.58203,9.793585,1.933246,149.862808,268.751984,1.055119,622996.75,36870.09375,62233.54688,1.08465E+21,0.342172,0.02025
2.032531,64071.54297,9.793585,1.931615,149.893204,268.807953,1.055119,622908.9375,36874.15234,62232.58984,62710.68359,0.341985,0.020244
2.031,64071.5,9.793585,1.930076,149.921967,268.860901,1.05512,623011,36884.12891,62231.84766,0,0.34191,0.020242
2.029499,64071.45703,9.793585,1.92857,149.949982,268.912415,1.05512,623040.5625,36892.21875,62231.09375,-5.4049,0.341798,0.020239
2.027953,64071.42188,9.793585,1.92701,149.97908,268.966003,1.05512,622967.9375,36895.88672,62230.21094,0,0.341625,0.020233
2.026172,64071.38672,9.793585,1.925215,150.01265,269.027985,1.05512,622988.625,36902.80859,62229.07422,62428.68359,0.341484,0.020228
2.024639,64071.33203,9.793585,1.923681,150.041199,269.080597,1.055121,623075.75,36913.83594,62228.46875,0,0.341402,0.020226
2.023115,64071.29297,9.793585,1.922138,150.070053,269.133698,1.055121,622950.25,36916.87109,62227.73047,62712.05078,0.341201,0.02022
2.021502,64071.25391,9.793585,1.920517,150.100479,269.189789,1.055121,623026.125,36925.14453,62226.59375,-7.53775E+36,0.341105,0.020216
2.019841,64071.21484,9.793585,1.918855,150.131485,269.246948,1.055121,623083.8125,36934.32422,62225.76953,0,0.340995,0.020213
2.01816,64071.17188,9.793585,1.917164,150.16301,269.305084,1.055122,623029.375,36939.42188,62224.71484,62228.46875,0.340822,0.020207
2.016536,64071.12891,9.793585,1.915526,150.193741,269.361633,1.055122,622992.9375,36946.18359,62224.07813,62714.76563,0.340663,0.020203
2.015006,64071.08203,9.793585,1.913995,150.222351,269.414307,1.055122,623088.8125,36956.33984,62223.45703,0,0.340585,0.020201
2.013254,64071.05078,9.793585,1.912229,150.255402,269.475342,1.055122,623012.6875,36960.21484,62222.03516,0,0.340394,0.020194
2.011484,64071.00391,9.793585,1.910458,150.288513,269.536438,1.055123,623101.75,36970.26563,62221.10547,0,0.340292,0.02019
2.009874,64070.95313,9.793585,1.908841,150.318634,269.591919,1.055123,623068.5625,36978,62220.67188,0,0.340138,0.020187
2.008295,64070.91016,9.793585,1.907249,150.348419,269.646759,1.055123,623020.5,36983.32813,62219.74219,0,0.339977,0.020181
2.006649,64070.87109,9.793585,1.905596,150.379456,269.703949,1.055123,623067.125,36991.34766,62218.73438,0,0.339862,0.020178
2.004971,64070.82813,9.793585,1.903916,150.410843,269.761841,1.055124,623107.75,37000.33984,62217.82813,0,0.339742,0.020174
2.003326,64070.78516,9.793585,1.902268,150.441605,269.818573,1.055124,623098.3125,37006.80859,62217.05469,0,0.339598,0.020169
2.001642,64070.74219,9.793585,1.900573,150.473358,269.877106,1.055124,623041,37012.63672,62216.02344,0,0.339423,0.020164
1.999792,64070.70313,9.793585,1.898719,150.508041,269.941193,1.055125,623109.125,37021.58984,62214.83594,3566.9375,0.339304,0.02016
1.998107,64070.65234,9.793585,1.897023,150.539871,269.999847,1.055125,623053.625,37028.84766,62214.25,0,0.33913,0.020155
1.996501,64070.60547,9.793585,1.895413,150.570068,270.055511,1.055125,623108.5,37038.0625,62213.55469,0,0.339024,0.020152
1.994923,64070.5625,9.793585,1.89383,150.599762,270.110199,1.055125,623105.5625,37045.07031,62212.72656,0,0.338889,0.020148
1.993395,64070.51953,9.793585,1.892288,150.62886,270.163727,1.055125,623031.5625,37050.26172,62211.85547,783.03125,0.338717,0.020143
1.991807,64070.48047,9.793585,1.890696,150.658905,270.219086,1.055125,623112.6875,37058.99609,62210.875,0,0.338626,0.020139
1.990214,64070.4375,9.793585,1.889102,150.688873,270.274292,1.055126,623149.3125,37067.46875,62210.10547,0,0.338511,0.020136
1.988619,64070.39453,9.793585,1.887497,150.719193,270.330109,1.055126,623077.25,37071.93359,62209.26563,0,0.338336,0.02013
1.987041,64068.44531,9.793585,1.885913,150.749176,270.385345,1.055126,623091.1875,37079.80078,62208.34766,-7.58816E+36,0.338209,0.020127
1.985519,64070.30859,9.793585,1.884391,150.777939,270.438263,1.055127,623160.9375,37088.98438,62207.75,30.458496,0.338118,0.020124
