ALTITUDE,Mach,Thrust
1000,70000,0.76,93221
1000,70000,0.761,93332
1000,70000,0.762,93415
1000,70000,0.763,93526
1000,70000,0.764,93606
1000,70000,0.765,93710
1000,70000,0.766,93812
1000,70000,0.767,93886
1000,70000,0.768,93985
1000,70000,0.769,94083
1000,70000,0.77,94183
1000,70000,0.771,94278
1000,70000,0.772,94374
1000,70000,0.773,94470
1000,70000,0.774,94568
1000,70000,0.775,94664
1000,70000,0.776,94761
1000,70000,0.777,94858
1000,70000,0.778,94955
1000,70000,0.779,95054
1000,70000,0.78,95154
1000,70000,0.781,95257
1000,70000,0.782,95359
1000,70000,0.783,95462
1000,70000,0.784,95565
1000,70000,0.785,95666
1000,70000,0.786,95766
1000,70000,0.787,95867
1000,70000,0.788,95966
1000,70000,0.789,96066
1000,70000,0.79,96165
1000,70000,0.791,96264
1000,70000,0.792,96362
1000,70000,0.793,96459
1000,70000,0.794,96558
1000,70000,0.795,96679
1000,70000,0.796,96775
1000,70000,0.797,96894
1000,70000,0.798,96990
1000,70000,0.799,97106
1000,70000,0.8,97201
1000,70000,0.801,97316
1000,70000,0.802,97431
1000,70000,0.803,97546
1000,70000,0.804,97665
1000,70000,0.805,97757
1000,70000,0.806,97873
1000,70000,0.807,97986
1000,70000,0.808,98100
1000,70000,0.809,98211
1000,70000,0.81,98341
1000,70000,0.811,98446
1000,70000,0.812,98564
1000,70000,0.813,98658
1000,70000,0.814,98785
1000,70000,0.815,98904
1000,70000,0.816,99024
1000,70000,0.817,99156
1000,70000,0.818,99285
1000,70000,0.819,99422
1000,70000,0.82,99538
1000,70000,0.821,99675
1000,70000,0.822,99791
1000,70000,0.823,99914
1000,70000,0.824,100048
1000,70000,0.825,100211
1000,70000,0.826,100389
1000,70000,0.827,100515
1000,70000,0.828,100631
1000,70000,0.829,100732
1000,70000,0.83,100836
1000,70000,0.831,100928
1000,70000,0.832,101034
1000,70000,0.833,101138
1000,70000,0.834,101225
1000,70000,0.835,101343
1000,70000,0.836,101459
1000,70000,0.837,101570
1000,70000,0.838,101703
1000,70000,0.839,101838
1000,70000,0.84,101987
1000,70000,0.841,102137
1000,70000,0.842,102310
1000,70000,0.843,102497
1000,70000,0.844,102648
1000,70000,0.845,102772
1000,70000,0.846,102885
10000,70000,0.232,76759
10000,70000,0.233,76766
10000,70000,0.234,76749
10000,70000,0.235,76719
10000,70000,0.236,76689
10000,70000,0.237,76654
10000,70000,0.238,76615
10000,70000,0.239,76572
10000,70000,0.24,76527
10000,70000,0.241,76490
10000,70000,0.242,76441
10000,70000,0.243,76403
10000,70000,0.244,76363
10000,70000,0.245,76324
10000,70000,0.246,76282
10000,70000,0.247,76228
10000,70000,0.248,76201
10000,70000,0.249,76159
10000,70000,0.25,76117
10000,70000,0.251,76076
10000,70000,0.252,76034
10000,70000,0.253,75993
10000,70000,0.254,75965
10000,70000,0.255,75923
10000,70000,0.256,75883
10000,70000,0.257,75840
10000,70000,0.258,75813
10000,70000,0.259,75772
10000,70000,0.26,75730
10000,70000,0.261,75703
10000,70000,0.262,75663
10000,70000,0.263,75634
10000,70000,0.264,75594
10000,70000,0.265,75554
10000,70000,0.266,75527
10000,70000,0.267,75487
10000,70000,0.268,75449
10000,70000,0.269,75424
10000,70000,0.27,75385
10000,70000,0.271,75347
10000,70000,0.272,75322
10000,70000,0.273,75285
10000,70000,0.274,75248
10000,70000,0.275,75223
10000,70000,0.276,75186
10000,70000,0.277,75150
10000,70000,0.278,75126
10000,70000,0.279,75091
10000,70000,0.28,75055
10000,70000,0.281,75032
10000,70000,0.282,74997
10000,70000,0.283,74962
10000,70000,0.284,74939
10000,70000,0.285,74904
10000,70000,0.286,74871
10000,70000,0.287,74837
10000,70000,0.288,74814
10000,70000,0.289,74781
10000,70000,0.29,74748
10000,70000,0.291,74725
10000,70000,0.292,74692
10000,70000,0.293,74659
10000,70000,0.294,74627
10000,70000,0.295,74605
10000,70000,0.296,74573
10000,70000,0.297,74541
10000,70000,0.298,74519
10000,70000,0.299,74487
10000,70000,0.3,74456
10000,70000,0.301,74434
10000,70000,0.302,74403
10000,70000,0.303,74371
10000,70000,0.304,74351
10000,70000,0.305,74320
10000,70000,0.306,74289
10000,70000,0.307,74259
10000,70000,0.308,74239
10000,70000,0.309,74209
10000,70000,0.31,74178
10000,70000,0.311,74157
10000,70000,0.312,74126
10000,70000,0.313,74106
10000,70000,0.314,74075
10000,70000,0.315,74055
10000,70000,0.316,74024
10000,70000,0.317,73993
10000,70000,0.318,73973
10000,70000,0.319,73943
10000,70000,0.32,73922
10000,70000,0.321,73892
10000,70000,0.322,73871
10000,70000,0.323,73841
10000,70000,0.324,73810
10000,70000,0.325,73789
10000,70000,0.326,73767
10000,70000,0.327,73735
10000,70000,0.328,73713
10000,70000,0.329,73681
10000,70000,0.33,73659
10000,70000,0.331,73637
10000,70000,0.332,73614
10000,70000,0.333,73581
10000,70000,0.334,73558
10000,70000,0.335,73534
10000,70000,0.336,73512
10000,70000,0.337,73490
10000,70000,0.338,73468
10000,70000,0.339,73446
10000,70000,0.34,73412
10000,70000,0.341,73389
10000,70000,0.342,73367
10000,70000,0.343,73345
10000,70000,0.344,73324
10000,70000,0.345,73302
10000,70000,0.346,73280
10000,70000,0.347,73259
10000,70000,0.348,73239
10000,70000,0.349,73218
10000,70000,0.35,73197
10000,70000,0.351,73177
10000,70000,0.352,73157
10000,70000,0.353,73136
10000,70000,0.354,73116
10000,70000,0.355,73096
10000,70000,0.356,73077
10000,70000,0.357,73058
10000,70000,0.358,73038
10000,70000,0.359,73018
10000,70000,0.36,73000
10000,70000,0.361,72980
10000,70000,0.362,72962
10000,70000,0.363,72944
10000,70000,0.364,72926
10000,70000,0.365,72908
10000,70000,0.366,72890
10000,70000,0.367,72873
10000,70000,0.368,72855
10000,70000,0.369,72838
10000,70000,0.37,72821
10000,70000,0.371,72804
10000,70000,0.372,72788
10000,70000,0.373,72771
10000,70000,0.374,72754
10000,70000,0.375,72738
10000,70000,0.376,72722
10000,70000,0.377,72706
10000,70000,0.378,72690
10000,70000,0.379,72674
10000,70000,0.38,72658
10000,70000,0.381,72643
10000,70000,0.382,72627
10000,70000,0.383,72612
10000,70000,0.384,72600
10000,70000,0.385,72584
10000,70000,0.386,72561
10000,70000,0.387,72547
10000,70000,0.388,72532
10000,70000,0.389,72520
10000,70000,0.39,72504
10000,70000,0.391,72488
10000,70000,0.392,72479
10000,70000,0.393,72464
10000,70000,0.394,72451
10000,70000,0.395,72435
10000,70000,0.396,72426
10000,70000,0.397,72413
10000,70000,0.398,72399
10000,70000,0.399,72383
10000,70000,0.4,72374
10000,70000,0.401,72361
10000,70000,0.402,72349
10000,70000,0.403,72336
10000,70000,0.404,72323
10000,70000,0.405,72314
10000,70000,0.406,72298
10000,70000,0.407,72289
10000,70000,0.408,72276
10000,70000,0.409,72267
10000,70000,0.41,72254
10000,70000,0.411,72243
10000,70000,0.412,72233
10000,70000,0.413,72225
10000,70000,0.414,72217
10000,70000,0.415,72207
10000,70000,0.416,72195
10000,70000,0.417,72186
10000,70000,0.418,72175
10000,70000,0.419,72167
10000,70000,0.42,72163
10000,70000,0.421,72152
10000,70000,0.422,72150
10000,70000,0.423,72140
10000,70000,0.424,72134
10000,70000,0.425,72126
10000,70000,0.426,72119
10000,70000,0.427,72111
10000,70000,0.428,72106
10000,70000,0.429,72099
10000,70000,0.43,72091
10000,70000,0.431,72085
10000,70000,0.432,72079
10000,70000,0.433,72074
10000,70000,0.434,72067
10000,70000,0.435,72059
10000,70000,0.436,72058
10000,70000,0.437,72052
10000,70000,0.438,72046
10000,70000,0.439,72041
10000,70000,0.44,72038
10000,70000,0.441,72030
10000,70000,0.442,72026
10000,70000,0.443,72026
10000,70000,0.444,72021
10000,70000,0.445,72015
10000,70000,0.446,72015
10000,70000,0.447,72011
10000,70000,0.448,72007
10000,70000,0.449,72006
10000,70000,0.45,71999
10000,70000,0.451,71996
10000,70000,0.452,71996
10000,70000,0.453,71994
10000,70000,0.454,71991
10000,70000,0.455,71990
10000,70000,0.456,71989
10000,70000,0.457,71988
10000,70000,0.458,71987
10000,70000,0.459,71986
10000,70000,0.46,71985
10000,70000,0.461,71982
10000,70000,0.462,71982
10000,70000,0.463,71981
10000,70000,0.464,71981
10000,70000,0.465,71982
10000,70000,0.466,71981
10000,70000,0.467,71981
10000,70000,0.468,71982
10000,70000,0.469,71986
10000,70000,0.47,71986
10000,70000,0.471,71984
10000,70000,0.472,71985
10000,70000,0.473,71986
10000,70000,0.474,71989
10000,70000,0.475,71990
10000,70000,0.476,71995
10000,70000,0.477,71998
10000,70000,0.478,72000
10000,70000,0.479,72005
10000,70000,0.48,72007
10000,70000,0.481,72010
10000,70000,0.482,72014
10000,70000,0.483,72017
10000,70000,0.484,72019
10000,70000,0.485,72025
10000,70000,0.486,72029
10000,70000,0.487,72033
10000,70000,0.488,72035
10000,70000,0.489,72044
10000,70000,0.49,72046
10000,70000,0.491,72049
10000,70000,0.492,72057
10000,70000,0.493,72063
10000,70000,0.494,72070
10000,70000,0.495,72073
10000,70000,0.496,72078
10000,70000,0.497,72086
10000,70000,0.498,72094
10000,70000,0.499,72098
10000,70000,0.5,72103
10000,70000,0.501,72116
10000,70000,0.502,72124
10000,70000,0.503,72132
10000,70000,0.504,72141
10000,70000,0.505,72149
10000,70000,0.506,72157
10000,70000,0.507,72164
10000,70000,0.508,72170
10000,70000,0.509,72178
10000,70000,0.51,72193
10000,70000,0.511,72199
10000,70000,0.512,72207
10000,70000,0.513,72219
10000,70000,0.514,72227
10000,70000,0.515,72236
10000,70000,0.516,72248
10000,70000,0.517,72257
10000,70000,0.518,72266
10000,70000,0.519,72285
10000,70000,0.52,72297
10000,70000,0.521,72307
10000,70000,0.522,72316
10000,70000,0.523,72330
10000,70000,0.524,72339
10000,70000,0.525,72348
10000,70000,0.526,72363
10000,70000,0.527,72376
10000,70000,0.528,72395
10000,70000,0.529,72405
10000,70000,0.53,72418
10000,70000,0.531,72434
10000,70000,0.532,72446
10000,70000,0.533,72457
10000,70000,0.534,72471
10000,70000,0.535,72487
10000,70000,0.536,72502
10000,70000,0.537,72519
10000,70000,0.538,72534
10000,70000,0.539,72546
10000,70000,0.54,72559
10000,70000,0.541,72577
10000,70000,0.542,72593
10000,70000,0.543,72616
10000,70000,0.544,72629
10000,70000,0.545,72646
10000,70000,0.546,72663
10000,70000,0.547,72677
10000,70000,0.548,72691
10000,70000,0.549,72710
10000,70000,0.55,72738
10000,70000,0.551,72753
10000,70000,0.552,72768
10000,70000,0.553,72786
10000,70000,0.554,72806
10000,70000,0.555,72826
10000,70000,0.556,72847
10000,70000,0.557,72866
10000,70000,0.558,72887
10000,70000,0.559,72902
10000,70000,0.56,72920
10000,70000,0.561,72941
10000,70000,0.562,72973
10000,70000,0.563,72991
10000,70000,0.564,73008
10000,70000,0.565,73029
10000,70000,0.566,73051
10000,70000,0.567,73075
10000,70000,0.568,73101
10000,70000,0.569,73119
10000,70000,0.57,73140
10000,70000,0.571,73164
10000,70000,0.572,73184
10000,70000,0.573,73214
10000,70000,0.574,73239
10000,70000,0.575,73259
10000,70000,0.576,73283
10000,70000,0.577,73304
10000,70000,0.578,73327
10000,70000,0.579,73353
10000,70000,0.58,73376
10000,70000,0.581,73394
10000,70000,0.582,73421
10000,70000,0.583,73455
10000,70000,0.584,73476
10000,70000,0.585,73504
10000,70000,0.586,73522
10000,70000,0.587,73545
10000,70000,0.588,73567
10000,70000,0.589,73606
10000,70000,0.59,73630
10000,70000,0.591,73653
10000,70000,0.592,73675
10000,70000,0.593,73700
10000,70000,0.594,73738
10000,70000,0.595,73757
10000,70000,0.596,73788
10000,70000,0.597,73819
10000,70000,0.598,73847
10000,70000,0.599,73869
10000,70000,0.6,73900
10000,70000,0.601,73927
10000,70000,0.602,73971
10000,70000,0.603,73999
10000,70000,0.604,74026
10000,70000,0.605,74054
10000,70000,0.606,74088
10000,70000,0.607,74115
10000,70000,0.608,74145
10000,70000,0.609,74180
10000,70000,0.61,74215
10000,70000,0.611,74243
10000,70000,0.612,74275
