AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Q,QS,Calculated CL,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd,Wing Surface,,
6.321359,64134.55859,9.793591,7.154538,102.744965,181.317474,1.055313,5570.217921,90043.29683,6.975618,600491.5,33789.17188,80159.125,1.08465E+21,0.70154,0.039475,122,6,
6.311067,64134.50391,9.793591,7.142369,102.783615,181.386597,1.055309,5574.391248,90110.7592,6.970389,600161,33757.21875,80186.5625,0,0.700629,0.039408,122,6,
6.300475,64134.45703,9.793591,7.129776,102.823624,181.458237,1.055305,5578.712853,90180.61851,6.964985,599869.9375,33726.27734,80214.46875,0,0.699747,0.039342,122,6,
6.289297,64134.40234,9.79359,7.116438,102.865974,181.534195,1.055302,5583.290375,90254.61474,6.959268,599660.875,33698.59375,80243.84375,0,0.698929,0.039277,122,6,
6.278598,64134.34766,9.79359,7.103577,102.906799,181.607437,1.055298,5587.703419,90325.95217,6.953765,599264.75,33665.09375,80271.52344,0,0.697916,0.039207,122,6,
6.268772,64134.28516,9.79359,7.091698,102.944542,181.675049,1.055295,5591.785232,90391.93521,6.948683,598982.4375,33640.42969,80296.01563,1.08465E+21,0.697078,0.03915,122,6,
6.257792,64134.23828,9.79359,7.078372,102.986847,181.751083,1.055291,5596.363092,90465.93691,6.942993,598765.0625,33609.85156,80323.3125,80271.52344,0.696255,0.039082,122,6,
6.246985,64134.18359,9.79359,7.065166,103.028793,181.826492,1.055288,5600.903823,90539.33841,6.937359,598404.5625,33576.75,80350.03906,0,0.695272,0.039012,122,6,
6.235851,64134.12891,9.79359,7.051476,103.072311,181.904861,1.055284,5605.616061,90615.51236,6.931521,598089.3125,33544.27344,80377.61719,0,0.694321,0.038942,122,6,
6.226102,64134.06641,9.79359,7.039436,103.110596,181.973618,1.05528,5609.762662,90682.5427,6.926391,597880.125,33527.59375,80400.61719,80186.5625,0.693565,0.038893,122,6,
6.215226,64134.01953,9.79359,7.025935,103.153526,182.050949,1.055277,5614.415912,90757.76309,6.920645,597600.625,33493.12891,80426.21094,80377.61719,0.692667,0.038821,122,6,
6.205007,64133.95703,9.79359,7.013175,103.194138,182.124023,1.055273,5618.818501,90828.93151,6.915216,597304.4375,33467.07031,80449.63281,1.08465E+21,0.691781,0.038761,122,6,
6.195136,64133.90234,9.79359,7.000791,103.233528,182.194946,1.05527,5623.090453,90897.98817,6.909956,597066.0625,33443.22656,80471.67969,0,0.69098,0.038704,122,6,
6.185221,64133.84766,9.79359,6.988286,103.273323,182.266586,1.055266,5627.408717,90967.79347,6.904648,596803.5625,33415.58594,80493.5,0,0.690146,0.038642,122,6,
6.174299,64133.80078,9.79359,6.97444,103.317398,182.346161,1.055263,5632.194624,91045.15828,6.898776,596521.875,33382.18359,80518.24219,0,0.689234,0.03857,122,6,
6.164135,64133.73828,9.79359,6.961489,103.35862,182.420517,1.055259,5636.670052,91117.50415,6.893291,596279.875,33360.19141,80541.00781,0,0.688407,0.038514,122,6,
6.154587,64133.67578,9.79359,6.949247,103.397644,182.490784,1.055256,5640.909405,91186.03384,6.888104,595965.0625,33332.98828,80561.42969,0,0.687527,0.038454,122,6,
6.145109,64133.62891,9.79359,6.937021,103.436653,182.561081,1.055253,5645.148672,91254.56215,6.882926,595691.125,33305.85547,80581.14063,-5.4049,0.686695,0.038394,122,6,
6.135048,64133.57422,9.793588,6.924012,103.478142,182.636002,1.055249,5649.660271,91327.49273,6.877423,595565.4375,33284.18359,80602.10938,0,0.686001,0.038338,122,6,
6.125597,64133.51953,9.793588,6.911714,103.517433,182.706818,1.055246,5653.933633,91396.57219,6.872219,595256.9375,33258.00781,80621.51563,0,0.685128,0.038279,122,6,
6.116284,64133.46484,9.793588,6.899536,103.556351,182.776978,1.055243,5658.168384,91465.02749,6.86707,595025.375,33233.21875,80640.40625,0,0.684349,0.038222,122,6,
6.106389,64133.41797,9.793588,6.886545,103.597855,182.852005,1.055239,5662.686808,91538.06839,6.861585,594829.3125,33208.26563,80660.60156,0,0.683577,0.038163,122,6,
6.097234,64133.35547,9.793588,6.874476,103.636436,182.921616,1.055236,5666.887456,91605.97243,6.856492,594614.6875,33187.80469,80678.78906,0,0.682824,0.038111,122,6,
6.087347,64133.30859,9.793588,6.861346,103.678459,182.997604,1.055233,5671.46673,91679.99699,6.850951,594274.5625,33152.84375,80698.6875,0,0.681883,0.03804,122,6,
6.077951,64133.25391,9.793588,6.848816,103.71862,183.070145,1.055229,5675.842812,91750.73692,6.845663,594087.9375,33133.41016,80717.10938,0,0.681143,0.037989,122,6,
6.068779,64133.19922,9.793588,6.836524,103.758049,183.141357,1.055226,5680.1423,91820.2387,6.840476,593858,33110.20703,80734.53125,0,0.680364,0.037933,122,6,
6.059471,64133.14453,9.793588,6.823973,103.798378,183.214249,1.055223,5684.540725,91891.33982,6.835177,593589,33082.72266,80751.98438,3.65268E+19,0.679529,0.037872,122,6,
6.050649,64133.08984,9.793588,6.81204,103.836784,183.283569,1.05522,5688.731461,91959.0836,6.830136,593453,33066.5625,80767.98438,0,0.678873,0.037826,122,6,
6.041446,64133.04297,9.793588,6.79953,103.877045,183.3564,1.055217,5693.126299,92030.12674,6.824858,593231.125,33041.21094,80784.82813,0,0.678096,0.037768,122,6,
6.031051,64132.99609,9.793588,6.785317,103.922874,183.439514,1.055213,5698.132269,92111.04888,6.818858,592960.75,33007.71094,80805.13281,0,0.677191,0.037696,122,6,
6.021528,64132.92969,9.793588,6.772213,103.965218,183.516174,1.05521,5702.757913,92185.82303,6.81332,592700,32987.03125,80823.17969,38.666992,0.676344,0.037642,122,6,
6.012087,64132.87109,9.793588,6.759166,104.007477,183.592667,1.055206,5707.376854,92260.4888,6.807799,592525.0625,32966.10547,80839.9375,450.679688,0.675597,0.037588,122,6,
6.003106,64132.81641,9.793588,6.746669,104.048065,183.666077,1.055203,5711.814849,92332.22957,6.802504,592248.3125,32942.07422,80854.82031,0,0.674757,0.037531,122,6,
5.994015,64132.76172,9.793588,6.733985,104.089325,183.740753,1.0552,5716.328297,92405.19004,6.797127,592155.1875,32925.77344,80869.6875,0,0.674118,0.037483,122,6,
5.984189,64132.71484,9.793587,6.720196,104.134247,183.822235,1.055197,5721.24526,92484.6734,6.79128,591908.875,32897.50781,80886.84375,0,0.673259,0.037419,122,6,
5.975723,64132.64453,9.793587,6.708242,104.173279,183.892822,1.055193,5725.517516,92553.73497,6.786205,591674.5625,32879.95703,80900.74219,80869.6875,0.67249,0.037371,122,6,
5.966972,64132.59766,9.793587,6.695846,104.213844,183.966202,1.05519,5729.960632,92625.55852,6.780938,591548.125,32861.57422,80914.78125,0,0.671825,0.037321,122,6,
5.958742,64132.53516,9.793587,6.684143,104.252182,184.035492,1.055187,5734.161035,92693.45858,6.775964,591408.9375,32845.83984,80927.46875,80471.67969,0.671175,0.037276,122,6,
5.949913,64132.48828,9.793587,6.671512,104.293648,184.110596,1.055184,5738.706551,92766.93743,6.770592,591154.875,32817.32422,80941.79688,0,0.670355,0.037214,122,6,
5.941165,64132.43359,9.793587,6.658929,104.335052,184.185593,1.055181,5743.247135,92840.33655,6.765233,590956,32796.49219,80956.24219,0,0.6696,0.037161,122,6,
5.932873,64129.89453,9.793587,6.646977,104.374458,184.256866,1.055178,5747.570001,92910.21625,6.759878,590885.5,32784.75781,80969.21094,0,0.669017,0.03712,122,6,
5.924258,64132.33203,9.793587,6.634475,104.415756,184.33168,1.055175,5752.102295,92983.48137,6.754808,590618.75,32757.74023,80982.58594,-7.50966E+36,0.668188,0.03706,122,6,
5.916096,64132.26953,9.793587,6.622579,104.455139,184.402985,1.055172,5756.425944,93053.37373,6.749728,590480.4375,32741.74609,80994.82031,89.324219,0.667529,0.037014,122,6,
5.907654,64132.22266,9.793587,6.610233,104.496109,184.477158,1.055169,5760.92618,93126.12061,6.74445,590356.0625,32723.8457,81007.48438,355.164062,0.666867,0.036965,122,6,
5.898443,64132.17578,9.793587,6.596689,104.541122,184.558914,1.055166,5765.872889,93206.08481,6.738659,590153.1875,32697.96289,81022.27344,0,0.666066,0.036904,122,6,
5.890385,64132.10547,9.793587,6.584754,104.580948,184.631012,1.055163,5770.24985,93276.83895,6.73354,589905.4375,32679.83008,81033.96875,0,0.665282,0.036856,122,6,
5.882263,64132.05859,9.793587,6.572673,104.621391,184.704239,1.05516,5774.697983,93348.74361,6.728348,589785.9375,32662.6582,81044.89063,0,0.664635,0.036808,122,6,
5.874508,64132.00391,9.793587,6.5611,104.660233,184.774536,1.055157,5778.970884,93417.81561,6.723368,589700.375,32650.36523,81055.20313,80994.82031,0.664047,0.036767,122,6,
5.866271,64131.95703,9.793587,6.54873,104.701859,184.850006,1.055154,5783.552344,93491.8755,6.718037,589492.4375,32626.23242,81066.9375,0,0.663287,0.03671,122,6,
5.858563,64131.89453,9.793587,6.537102,104.74115,184.921097,1.055151,5787.878243,93561.80422,6.713009,589356.3125,32611.28125,81077.77344,0,0.662638,0.036666,122,6,
5.850814,64131.84766,9.793587,6.525376,104.780869,184.993011,1.055148,5792.252983,93632.52246,6.707934,589290.0625,32598.375,81088.375,0,0.662063,0.036624,122,6,
5.842882,64131.79297,9.793585,6.513318,104.821823,185.06723,1.055146,5796.766063,93705.47699,6.702705,589140.625,32579.21484,81099.39844,0,0.66138,0.036574,122,6,
5.834957,64131.73828,9.793585,6.5012,104.863121,185.14209,1.055143,5801.318876,93779.0738,6.697439,588972,32559.99023,81110.28125,78660.29688,0.660672,0.036524,122,6,
5.827409,64131.68359,9.793585,6.489619,104.90271,185.21376,1.05514,5805.684955,93849.65204,6.692397,588891.1875,32548.32422,81119.95313,0,0.660084,0.036483,122,6,
5.819439,64131.63672,9.793585,6.477348,104.944771,185.289993,1.055137,5810.325725,93924.67068,6.687046,588789.8125,32531.40234,81130.39063,0,0.659444,0.036435,122,6,
5.812009,64131.57422,9.793585,6.465844,104.984322,185.361603,1.055134,5814.690285,93995.22437,6.68202,588630.9375,32515.56641,81139.78125,1.08465E+21,0.658771,0.03639,122,6,
5.803952,64131.52734,9.793585,6.453307,105.027573,185.440063,1.055131,5819.467178,94072.44346,6.676531,588499,32495.82227,81150.39844,270.023438,0.658082,0.036338,122,6,
5.796452,64131.47266,9.793585,6.441585,105.068146,185.51358,1.055129,5823.948482,94144.88432,6.671388,588395.875,32483.66406,81159.71875,1.08465E+21,0.657461,0.036297,122,6,
5.789019,64131.41797,9.793585,6.429906,105.108749,185.587097,1.055126,5828.435542,94217.41823,6.666246,588259.25,32467.3457,81168.39063,1.08465E+21,0.656802,0.03625,122,6,
5.781567,64131.36328,9.793585,6.418157,105.149734,185.661346,1.055123,5832.965981,94290.65337,6.661063,588200.375,32454.92578,81177.39844,0,0.656226,0.036208,122,6,
5.774477,64131.30859,9.793585,6.406941,105.188965,185.732361,1.05512,5837.30473,94360.78981,6.656106,588128.6875,32444.27148,81185.47656,0,0.655659,0.03617,122,6,
5.767136,64131.26172,9.793585,6.395272,105.229935,185.80658,1.055118,5841.838216,94434.0742,6.650936,588010.6875,32427.16016,81194.27344,0,0.655019,0.036122,122,6,
5.759987,64131.20703,9.793585,6.383862,105.270111,185.879364,1.055115,5846.284659,94505.95153,6.645872,587920.0625,32414.32617,81202.63281,0,0.654419,0.036081,122,6,
5.752848,64131.15234,9.793585,6.37244,105.310463,185.952423,1.055112,5850.752941,94578.18189,6.64079,587889.6875,32404.43359,81210.75,0,0.653886,0.036042,122,6,
5.745743,64131.09766,9.793585,6.361022,105.350914,186.025681,1.05511,5855.233943,94650.61787,6.635703,587774.375,32389.14844,81218.78125,0,0.653257,0.035998,122,6,
5.738309,64131.05078,9.793585,6.349026,105.393532,186.102982,1.055107,5859.957593,94726.97628,6.630349,587688.4375,32374.25977,81227.5,0,0.652635,0.035952,122,6,
5.730855,64130.99609,9.793585,6.336959,105.436562,186.181,1.055104,5864.728305,94804.09546,6.62495,587624,32363,81235.78125,-2.35836E+29,0.652033,0.03591,122,6,
5.723097,64130.94141,9.793585,6.324319,105.481804,186.263123,1.055102,5869.74652,94885.21556,6.61928,587469.25,32344.56836,81244.65625,0,0.651304,0.035859,122,6,
5.715282,64130.88672,9.793585,6.311542,105.527718,186.346512,1.055099,5874.841621,94967.57854,6.613534,587431.8125,32333.53906,81252.61719,9.460449,0.650698,0.035816,122,6,
5.708187,64130.81641,9.793585,6.299884,105.569778,186.422729,1.055096,5879.510422,95043.0503,6.608275,587331.375,32323.81641,81259.57031,0,0.65007,0.035777,122,6,
5.701202,64130.76172,9.793584,6.288376,105.611443,186.498215,1.055093,5884.138186,95117.85872,6.603071,587309.625,32314.24219,81265.70313,0,0.649534,0.035738,122,6,
5.694023,64130.71094,9.793584,6.276504,105.654587,186.576431,1.055091,5888.932089,95195.35278,6.597691,587246.5625,32302.25977,81273.92969,0,0.648936,0.035696,122,6,
5.687036,64130.65234,9.793584,6.264914,105.696808,186.652969,1.055088,5893.624981,95271.21399,6.592431,587205.6875,32292.41602,81280.10938,0,0.648374,0.035656,122,6,
5.680119,64130.59766,9.793584,6.253379,105.738998,186.729401,1.055086,5898.316326,95347.05019,6.587182,587097.375,32278.86719,81286.96875,0,0.647739,0.035613,122,6,
5.673349,64130.54297,9.793584,6.242096,105.780357,186.804306,1.055083,5902.917379,95421.42681,6.582042,587163.125,32275.2793,81292.82813,0,0.647306,0.035581,122,6,
5.666641,64130.48828,9.793584,6.230867,105.821587,186.879044,1.055081,5907.506402,95495.60896,6.576924,587069.25,32262.43555,81299.39063,0,0.6467,0.035539,122,6,
5.660055,64130.43359,9.793584,6.21979,105.862358,186.952972,1.055078,5912.0454,95568.98246,6.571868,586966.4375,32249.28516,81303.42188,1.08465E+21,0.646091,0.035498,122,6,
5.653346,64130.38672,9.793584,6.208486,105.904045,187.028641,1.055076,5916.689097,95644.04842,6.566706,586970.75,32240.82031,81283.375,0,0.645588,0.035461,122,6,
5.646964,64130.32813,9.793584,6.197689,105.943954,187.101028,1.055073,5921.135901,95715.93158,6.561768,586889.375,32230.71094,81253.54688,0,0.645014,0.035423,122,6,
5.640445,64130.27734,9.793584,6.186635,105.984856,187.175385,1.055071,5925.695272,95789.63441,6.556714,586876.1875,32220.57422,81213.84375,0,0.644503,0.035384,122,6,
5.634095,64130.22266,9.793584,6.175817,106.024956,187.248306,1.055069,5930.167444,95861.92766,6.551764,586779.0625,32209.08398,81166.92188,1.08465E+21,0.643911,0.035345,122,6,
